Income,DebtToIncomeRatio,UtilityTimeliness,SocialSentiment,GeolocationScore,Default
44300,0.54,1,0.44,0.44,0
94065,0.21,1,0.77,0.51,0
102798,0.36,1,0.35,0.96,0
29268,0.25,1,0.59,0.47,0
106807,0.59,1,0.74,0.78,1
32185,0.76,1,0.47,0.87,0
83704,0.8,1,0.35,0.54,0
106779,0.42,1,0.92,0.82,1
59099,0.28,0,0.89,0.44,0
28571,0.41,1,0.9,0.7,0
143372,0.69,1,0.94,0.6,0
125512,0.24,1,0.42,0.79,0
58044,0.77,1,0.4,0.93,0
71214,0.34,1,0.32,0.48,1
81228,0.79,1,0.88,0.67,0
134752,0.69,1,0.79,0.65,0
68984,0.67,1,0.71,0.59,0
60774,0.32,1,0.9,0.69,0
22568,0.11,1,0.67,0.93,1
140151,0.37,1,0.38,0.98,0
82592,0.31,0,0.41,0.4,1
87563,0.13,0,0.39,0.84,1
22695,0.45,1,0.5,0.77,0
144375,0.38,1,0.55,1.0,0
68190,0.54,1,0.82,0.45,0
25258,0.53,0,0.42,0.89,0
107538,0.18,0,0.77,0.96,0
59504,0.78,1,0.62,0.95,1
53159,0.23,0,0.95,0.74,0
33986,0.41,0,0.8,0.6,0
81858,0.44,0,0.93,0.78,0
149312,0.67,0,0.52,0.58,0
32666,0.17,1,0.38,0.65,0
58660,0.4,1,0.63,0.67,0
23561,0.54,0,0.38,0.58,0
46854,0.25,0,0.62,0.61,0
84505,0.54,1,0.48,0.4,0
124488,0.75,1,0.62,0.58,0
72251,0.8,1,0.92,0.68,0
42662,0.12,1,0.49,0.5,1
28392,0.26,1,0.95,0.88,0
50535,0.32,1,0.45,0.72,0
98603,0.38,1,0.44,0.88,0
133569,0.27,1,0.65,0.48,0
72256,0.24,0,0.85,0.89,0
109135,0.77,0,0.79,0.97,0
147478,0.74,0,0.77,0.61,0
55222,0.13,1,0.48,0.57,0
97373,0.34,0,0.31,0.79,1
99575,0.38,0,0.41,0.78,0
143684,0.27,1,0.53,0.47,1
116354,0.54,1,0.93,0.96,0
104651,0.55,0,0.9,0.69,0
83335,0.7,1,0.43,0.86,0
30965,0.62,0,0.77,0.62,0
44538,0.48,1,0.68,0.56,0
128066,0.56,0,0.33,0.47,1
90592,0.29,1,0.54,0.56,0
118018,0.52,0,0.62,1.0,0
133252,0.44,1,0.73,0.79,0
28110,0.19,0,0.49,0.88,0
99309,0.27,0,0.91,0.98,1
47266,0.3,0,0.59,0.45,0
72992,0.75,0,0.46,0.5,0
102948,0.26,1,0.51,0.96,1
142073,0.3,1,0.79,0.74,0
118806,0.36,1,0.72,0.78,0
26910,0.56,1,0.78,0.66,0
130989,0.18,1,0.49,0.89,0
110982,0.77,1,0.51,0.71,0
141626,0.71,0,0.56,0.9,0
139176,0.5,1,0.42,1.0,0
20206,0.57,0,0.75,0.79,0
107054,0.11,1,0.51,0.72,1
107897,0.34,1,0.51,0.62,0
142409,0.66,1,0.48,0.52,1
43419,0.15,1,0.59,0.79,0
70636,0.3,1,0.8,0.44,1
142546,0.51,1,0.84,0.97,0
134238,0.28,1,0.82,0.79,0
70015,0.75,1,0.7,0.98,0
137478,0.19,1,0.48,0.56,0
142096,0.66,1,0.78,0.97,0
127059,0.46,1,0.33,0.77,0
74268,0.63,1,0.82,0.89,0
130687,0.32,1,0.81,0.51,0
107939,0.46,1,0.74,0.7,0
38141,0.7,1,0.36,0.74,0
100356,0.43,1,0.95,0.64,0
125878,0.35,1,0.79,0.55,0
91910,0.48,0,0.78,0.94,1
76044,0.6,1,0.34,0.45,0
87214,0.41,1,0.56,0.49,0
137930,0.76,1,0.36,0.59,0
139324,0.31,0,0.53,0.95,0
53827,0.43,1,0.67,0.74,1
75820,0.63,1,0.87,0.62,0
82623,0.58,1,0.48,0.64,1
101734,0.7,1,0.71,0.9,0
95450,0.8,1,0.41,0.42,0
113426,0.4,1,0.53,0.41,0
137845,0.18,1,0.92,0.43,0
42299,0.12,1,0.79,0.68,0
63585,0.61,1,0.65,0.75,0
129225,0.71,0,0.46,0.77,0
84044,0.25,1,0.55,0.84,0
62557,0.21,1,0.4,0.51,0
69080,0.14,1,0.53,0.56,0
129556,0.68,1,0.4,0.55,1
22693,0.32,1,0.82,0.49,0
115003,0.38,0,0.35,0.55,1
115259,0.45,0,0.42,0.77,0
132235,0.69,1,0.75,0.62,0
89163,0.56,1,0.89,0.86,0
45939,0.53,1,0.93,0.72,1
68925,0.22,1,0.84,0.53,0
62941,0.46,1,0.44,0.68,0
41834,0.6,1,0.49,0.76,0
38047,0.78,0,0.87,0.92,0
46105,0.24,1,0.88,0.9,0
95766,0.11,1,0.72,0.66,0
35707,0.15,0,0.5,0.79,1
41976,0.36,1,0.45,0.58,0
64262,0.67,0,0.85,0.78,0
145117,0.1,0,0.43,0.95,0
43776,0.42,1,0.73,0.77,0
50080,0.33,1,0.93,0.58,1
148376,0.14,1,0.76,0.79,0
86842,0.42,1,0.47,0.94,0
81373,0.28,0,0.48,0.48,1
26776,0.35,1,0.36,0.69,0
112787,0.59,1,0.75,0.59,0
147948,0.47,1,0.64,0.54,0
75016,0.19,1,0.43,0.64,0
29474,0.77,1,0.45,0.64,0
125830,0.55,1,0.31,0.53,0
78053,0.64,1,0.94,0.64,0
41959,0.16,1,0.84,0.78,0
25530,0.13,1,0.56,0.42,1
114856,0.11,0,0.91,0.99,0
139101,0.23,1,0.74,0.58,0
23748,0.39,0,0.79,0.77,0
117504,0.76,1,0.74,0.57,0
118098,0.42,1,0.79,0.64,1
33545,0.3,1,0.41,0.73,1
147659,0.49,1,0.67,0.77,0
86199,0.18,1,0.85,0.86,0
54766,0.53,1,0.31,0.88,0
93530,0.5,1,0.38,0.71,0
113557,0.65,0,0.46,0.45,1
81087,0.79,1,0.49,0.73,0
115839,0.28,1,0.42,0.69,1
136183,0.46,1,0.71,0.53,1
88840,0.74,1,0.49,0.41,0
138451,0.65,1,0.4,0.59,0
74384,0.44,1,0.89,0.56,0
71005,0.76,0,0.75,0.69,0
66576,0.14,1,0.46,0.86,0
59353,0.75,0,0.53,0.66,0
82003,0.14,0,0.78,0.97,0
103211,0.48,1,0.81,0.53,0
72733,0.72,0,0.41,0.53,0
85318,0.28,1,0.91,0.76,1
129953,0.43,1,0.81,0.94,0
109474,0.33,1,0.86,0.8,0
43664,0.77,1,0.39,0.8,0
87172,0.68,1,0.39,0.88,1
105616,0.6,0,0.5,0.8,0
145879,0.51,1,0.34,0.86,0
113264,0.67,1,0.36,0.92,0
135386,0.37,0,0.39,0.4,1
46736,0.41,1,0.76,0.93,1
114209,0.61,1,0.32,0.53,1
123041,0.35,0,0.35,0.95,0
132859,0.14,1,0.91,0.56,0
132181,0.15,1,0.35,0.67,0
20854,0.18,0,0.65,0.96,0
110084,0.71,1,0.72,0.47,0
58623,0.43,1,0.92,0.85,0
27392,0.6,1,0.88,0.64,0
75680,0.38,1,0.59,0.41,1
146354,0.28,0,0.91,0.96,0
66717,0.34,1,0.58,0.47,0
139937,0.66,1,0.74,0.86,0
107092,0.54,1,0.47,0.63,0
70859,0.76,1,0.71,0.89,0
145657,0.58,0,0.65,0.85,0
124095,0.5,0,0.69,0.78,0
46309,0.53,0,0.74,0.96,0
107455,0.76,1,0.41,0.46,0
83734,0.65,0,0.5,0.88,0
90467,0.12,0,0.78,0.8,0
72662,0.47,1,0.41,0.59,0
118506,0.58,1,0.52,0.73,0
129751,0.62,1,0.73,0.79,0
138906,0.25,0,0.91,0.84,0
32688,0.71,1,0.35,0.51,0
45342,0.77,0,0.64,0.46,0
57157,0.27,1,0.35,0.46,1
87863,0.72,1,0.55,0.58,0
126308,0.17,1,0.41,0.49,0
72083,0.14,0,0.72,0.72,0
126081,0.19,1,0.79,0.66,0
85733,0.14,1,0.46,0.94,1
109045,0.69,1,0.76,0.83,0
54698,0.14,1,0.59,0.52,0
130078,0.29,1,0.48,0.43,0
100623,0.17,1,0.64,0.83,0
42671,0.31,1,0.55,0.91,0
45184,0.16,1,0.45,0.82,0
113384,0.57,0,0.79,0.79,0
62107,0.19,1,0.82,0.55,0
106202,0.7,0,0.82,0.7,0
129893,0.67,1,0.55,0.83,0
71663,0.11,0,0.41,0.52,0
35708,0.73,1,0.85,0.69,0
111906,0.12,1,0.51,0.47,0
69811,0.27,0,0.79,0.72,0
22811,0.12,1,0.83,0.74,0
76250,0.34,1,0.8,0.72,0
132547,0.46,1,0.55,0.68,1
92082,0.66,1,0.91,0.75,0
144249,0.34,1,0.73,1.0,0
54754,0.59,0,0.67,0.77,0
115742,0.23,1,0.75,0.85,0
126642,0.63,1,0.33,0.52,1
31411,0.27,1,0.55,0.72,1
22911,0.2,1,0.87,0.4,1
87270,0.23,1,0.4,0.42,1
103763,0.23,1,0.57,0.59,0
28680,0.46,1,0.56,0.68,0
104896,0.69,1,0.53,0.75,1
103879,0.16,0,0.67,0.93,0
91295,0.59,1,0.95,0.86,0
108614,0.56,1,0.47,0.58,1
120689,0.71,1,0.76,0.85,0
31111,0.27,1,0.79,0.73,0
57504,0.42,0,0.68,0.87,0
21802,0.75,1,0.36,0.65,1
28155,0.56,0,0.67,0.46,0
93656,0.37,0,0.92,0.77,0
59384,0.19,1,0.52,0.73,1
132561,0.28,1,0.72,0.97,0
67254,0.51,1,0.92,0.5,0
41918,0.6,0,0.82,0.79,0
105981,0.19,0,0.75,0.68,0
80713,0.52,1,0.93,0.63,0
50306,0.49,1,0.41,0.88,0
36646,0.46,1,0.8,0.89,0
66843,0.58,0,0.56,0.83,0
140975,0.69,1,0.53,0.45,0
116601,0.33,1,0.64,0.61,0
110735,0.72,0,0.32,0.43,0
127512,0.21,1,0.5,0.61,0
36371,0.22,1,0.41,0.79,0
97371,0.29,0,0.39,0.71,0
131472,0.18,0,0.52,0.82,0
22049,0.26,1,0.82,0.73,0
51616,0.17,0,0.43,0.73,0
123727,0.68,0,0.65,0.71,0
132893,0.2,1,0.79,0.62,0
146603,0.62,0,0.46,0.67,0
40932,0.13,1,0.9,0.47,0
137796,0.76,0,0.86,0.9,1
49855,0.6,1,0.46,0.93,1
81434,0.1,1,0.94,0.86,0
92694,0.63,1,0.73,0.75,0
63016,0.46,1,0.49,0.74,0
27400,0.65,0,0.74,0.68,0
137858,0.47,1,0.73,0.54,0
62642,0.55,0,0.69,0.63,1
35151,0.65,0,0.76,0.99,1
71407,0.38,1,0.47,0.49,0
86690,0.1,1,0.94,0.73,0
24499,0.69,1,0.86,0.92,0
26295,0.37,0,0.78,0.67,0
140885,0.45,1,0.32,0.76,0
146071,0.11,0,0.68,0.9,0
79040,0.44,1,0.76,0.73,0
32183,0.79,1,0.86,0.84,0
49299,0.29,1,0.92,0.61,0
32874,0.38,1,0.9,0.84,0
136336,0.58,1,0.56,0.42,0
52711,0.67,1,0.88,0.49,0
25539,0.39,1,0.3,0.78,0
127941,0.32,1,0.53,0.67,1
73351,0.76,1,0.37,0.9,0
81267,0.57,1,0.87,0.61,0
143133,0.18,1,0.9,0.86,0
68354,0.15,0,0.47,0.48,0
146063,0.44,1,0.54,0.96,0
22557,0.25,1,0.94,0.65,0
58360,0.28,1,0.67,0.54,1
102018,0.71,0,0.62,0.87,0
22200,0.16,0,0.63,0.97,0
132476,0.6,1,0.75,0.95,0
88497,0.29,1,0.92,0.54,0
66975,0.63,1,0.54,0.8,1
41357,0.61,0,0.41,0.73,0
139121,0.11,1,0.42,0.84,0
97505,0.46,0,0.31,0.69,0
22869,0.2,0,0.66,0.68,0
146114,0.71,0,0.9,0.93,0
81135,0.71,1,0.76,0.92,0
70108,0.39,1,0.95,0.87,0
132296,0.41,1,0.89,0.82,0
114179,0.31,1,0.62,0.81,0
110272,0.6,1,0.62,0.43,0
58467,0.35,1,0.71,0.85,1
43328,0.29,1,0.37,0.78,0
139181,0.4,1,0.69,0.58,0
111412,0.16,1,0.6,0.89,0
106831,0.62,1,0.72,0.9,0
23987,0.11,1,0.67,0.96,0
78871,0.55,1,0.5,0.65,1
42399,0.23,1,0.7,0.73,0
148391,0.26,0,0.54,0.94,1
66214,0.54,1,0.43,0.59,0
119522,0.8,1,0.74,0.88,1
106416,0.64,0,0.5,1.0,0
90271,0.26,1,0.88,0.79,0
64064,0.22,1,0.43,0.99,0
145615,0.71,1,0.69,0.71,0
90091,0.41,1,0.67,0.49,1
127450,0.2,1,0.43,0.51,0
60818,0.7,0,0.59,0.84,0
65525,0.67,1,0.74,0.4,1
39830,0.79,0,0.51,0.8,0
37429,0.74,0,0.37,0.49,1
26893,0.7,0,0.7,0.99,0
136381,0.14,0,0.45,0.5,0
99909,0.17,1,0.74,0.73,0
67333,0.5,1,0.85,0.8,0
23436,0.47,1,0.38,0.89,0
94290,0.42,1,0.58,0.68,0
96213,0.38,1,0.59,0.96,0
25895,0.4,1,0.71,0.69,0
39738,0.5,1,0.52,0.55,0
50746,0.1,1,0.57,0.76,0
69377,0.28,1,0.31,0.79,0
68404,0.46,0,0.38,0.7,1
74045,0.61,1,0.67,0.84,0
117888,0.22,1,0.44,0.65,0
149307,0.48,1,0.39,0.4,0
59790,0.6,1,0.51,0.56,0
127455,0.41,0,0.41,0.97,0
25600,0.12,0,0.34,0.86,1
114660,0.41,1,0.48,0.51,0
113179,0.31,1,0.41,0.44,1
60764,0.75,1,0.82,0.61,0
94543,0.19,1,0.34,0.9,0
65714,0.56,0,0.79,0.46,0
76835,0.14,1,0.55,0.73,0
122946,0.41,1,0.74,0.57,0
148191,0.49,1,0.33,0.84,0
129616,0.31,0,0.9,0.4,0
125983,0.42,1,0.8,0.57,0
93744,0.21,1,0.39,0.81,0
76491,0.31,0,0.44,0.73,0
144123,0.53,1,0.72,0.87,0
38589,0.31,1,0.9,0.49,0
63484,0.73,0,0.59,0.72,0
102989,0.54,1,0.62,0.52,0
56212,0.41,0,0.45,0.78,0
63525,0.13,1,0.55,0.48,0
67202,0.45,1,0.49,0.49,0
52635,0.64,1,0.53,0.6,0
83208,0.29,0,0.31,0.64,0
53828,0.66,1,0.33,0.7,0
38711,0.28,1,0.74,0.75,1
23420,0.68,0,0.74,0.68,0
116752,0.16,1,0.51,0.43,0
20301,0.71,0,0.88,0.61,0
65236,0.45,1,0.47,0.44,0
135294,0.31,1,0.56,0.47,0
137858,0.29,1,0.78,0.46,0
86235,0.4,1,0.78,0.49,0
74240,0.8,1,0.86,0.89,0
144019,0.25,0,0.32,0.78,0
85726,0.17,0,0.42,0.7,0
30492,0.51,0,0.72,0.84,0
135668,0.44,1,0.52,0.98,0
121279,0.47,1,0.33,0.65,0
26102,0.57,1,0.68,0.62,0
70336,0.29,0,0.56,0.99,0
138015,0.74,1,0.54,0.86,0
105314,0.4,1,0.47,0.87,0
143007,0.19,1,0.3,0.76,0
46641,0.62,1,0.42,0.7,0
54584,0.55,1,0.61,0.73,0
52745,0.32,1,0.48,0.79,0
140542,0.54,1,0.87,0.63,1
43093,0.25,1,0.39,0.87,0
86105,0.41,0,0.87,0.95,0
123746,0.73,0,0.56,0.74,0
120199,0.19,1,0.48,0.63,0
71885,0.37,1,0.5,0.82,0
56631,0.67,1,0.51,0.51,0
131217,0.78,1,0.63,0.98,0
92991,0.42,1,0.53,0.79,0
24014,0.45,1,0.72,0.44,0
31093,0.5,0,0.58,0.72,0
38070,0.75,1,0.74,0.85,0
55777,0.7,1,0.69,0.57,1
76958,0.22,0,0.46,0.43,0
102074,0.41,1,0.83,0.69,0
30729,0.42,1,0.82,0.9,0
119713,0.65,0,0.94,0.55,1
65017,0.52,1,0.41,0.83,0
86320,0.56,1,0.85,0.64,0
47751,0.8,0,0.87,0.44,1
126400,0.15,0,0.72,0.58,0
125864,0.26,1,0.63,0.59,0
98069,0.39,1,0.92,0.94,1
125647,0.34,1,0.93,0.99,0
125510,0.12,0,0.72,0.53,0
74748,0.16,1,0.53,0.66,1
25801,0.58,1,0.83,0.99,0
39190,0.72,1,0.36,0.64,0
69689,0.46,1,0.49,0.61,0
124290,0.48,0,0.94,0.47,1
70993,0.28,1,0.83,0.85,1
49592,0.64,0,0.91,0.67,0
30647,0.63,1,0.69,0.78,0
28716,0.51,0,0.56,0.71,0
108891,0.25,1,0.94,0.5,1
107545,0.17,1,0.5,0.51,0
137638,0.14,1,0.79,0.96,1
109912,0.51,1,0.66,0.93,0
130627,0.68,1,0.45,0.77,0
90316,0.7,1,0.31,0.4,0
146995,0.42,1,0.55,0.66,0
22368,0.65,0,0.66,0.72,0
97575,0.76,0,0.42,0.67,1
26655,0.29,1,0.57,0.96,0
126477,0.38,0,0.7,0.42,1
90031,0.75,1,0.76,0.79,0
96429,0.34,0,0.33,0.59,0
111083,0.74,1,0.73,0.74,0
107922,0.79,1,0.34,0.79,1
75766,0.56,0,0.32,0.66,0
144046,0.67,0,0.4,0.49,0
33403,0.62,1,0.72,0.71,0
52097,0.59,1,0.33,0.96,0
98657,0.31,1,0.31,0.72,0
140607,0.14,1,0.38,0.47,0
30966,0.34,0,0.92,0.89,0
144862,0.57,0,0.89,0.53,0
119157,0.17,0,0.36,0.62,0
138834,0.11,1,0.5,0.66,0
113848,0.2,1,0.92,0.6,0
72921,0.6,0,0.36,0.64,0
69726,0.78,1,0.36,0.88,0
146141,0.79,1,0.36,0.53,0
70300,0.45,1,0.93,0.68,0
42677,0.71,1,0.78,0.41,0
75609,0.62,1,0.44,0.7,0
116825,0.45,1,0.33,0.47,0
76661,0.5,1,0.93,0.57,0
51024,0.2,1,0.58,0.59,1
128211,0.76,1,0.69,0.45,0
90313,0.35,1,0.48,0.62,0
147813,0.41,1,0.79,0.7,0
73006,0.57,1,0.43,0.66,0
115285,0.33,1,0.81,0.57,1
35338,0.28,0,0.45,0.58,0
88027,0.54,1,0.36,0.78,0
112772,0.12,1,0.61,0.83,0
133632,0.6,1,0.83,0.75,0
100135,0.46,1,0.55,0.99,1
39508,0.52,1,0.32,0.97,0
140379,0.54,1,0.66,0.46,1
23051,0.47,1,0.74,0.56,0
68747,0.51,1,0.78,0.92,1
134692,0.58,1,0.56,0.42,0
107142,0.63,1,0.36,0.76,0
107235,0.61,0,0.68,0.97,0
74021,0.71,1,0.51,0.81,1
86412,0.23,0,0.92,0.46,0
78335,0.38,1,0.63,0.85,0
76179,0.76,0,0.61,0.63,0
52093,0.38,1,0.5,0.95,1
89678,0.19,0,0.52,0.57,1
100738,0.47,1,0.63,0.68,0
59734,0.18,1,0.5,0.85,1
92615,0.24,0,0.88,0.55,0
93523,0.8,1,0.59,0.51,1
125103,0.48,0,0.49,0.4,1
114476,0.3,1,0.4,0.69,0
122769,0.8,1,0.74,0.96,0
37019,0.78,1,0.32,0.57,0
131721,0.41,1,0.59,0.43,1
103613,0.28,1,0.66,0.77,0
111794,0.69,0,0.52,0.43,0
106672,0.6,1,0.79,0.7,0
93847,0.58,0,0.74,0.63,0
102750,0.73,1,0.93,0.69,1
99634,0.58,1,0.63,0.5,0
48251,0.3,0,0.65,0.45,0
123481,0.59,0,0.46,0.85,1
132566,0.31,0,0.55,0.55,0
45945,0.63,1,0.32,0.88,0
110852,0.53,1,0.75,0.86,1
52217,0.15,1,0.5,0.52,0
28308,0.46,1,0.65,0.94,0
25949,0.34,0,0.47,0.5,0
71990,0.33,1,0.7,0.88,1
21150,0.52,1,0.59,0.65,0
109480,0.33,1,0.61,0.51,0
120235,0.64,1,0.91,0.96,1
94740,0.15,1,0.76,0.98,0
136352,0.56,0,0.47,0.71,0
86617,0.67,1,0.63,0.68,0
114841,0.57,1,0.6,0.94,1
36896,0.45,1,0.82,0.76,0
145729,0.77,1,0.84,0.56,0
66175,0.31,1,0.48,0.66,1
27805,0.11,1,0.83,0.9,0
25237,0.4,1,0.42,0.92,0
135247,0.12,1,0.8,0.96,0
40056,0.77,1,0.46,0.57,0
65543,0.25,1,0.49,0.81,0
76556,0.65,0,0.85,0.44,0
134548,0.64,1,0.57,0.84,0
131488,0.25,0,0.94,0.74,0
23343,0.53,0,0.4,0.55,1
33500,0.13,1,0.6,0.79,0
73222,0.44,0,0.78,0.48,0
49375,0.11,1,0.3,0.6,0
29662,0.74,1,0.4,0.64,0
36964,0.78,1,0.31,0.87,0
133429,0.26,0,0.95,0.59,0
141692,0.25,0,0.79,0.43,1
79638,0.63,1,0.54,0.51,0
93666,0.28,1,0.4,0.76,0
105067,0.73,1,0.36,0.41,0
138937,0.5,0,0.65,0.88,0
87215,0.35,1,0.93,0.94,0
89042,0.68,0,0.74,0.7,0
33284,0.45,1,0.54,0.82,1
92789,0.74,1,0.63,0.68,1
104664,0.75,0,0.95,0.59,1
113468,0.22,1,0.64,0.5,0
81389,0.1,0,0.93,0.71,0
29435,0.79,1,0.31,0.96,0
74340,0.73,1,0.77,0.93,0
64078,0.14,0,0.71,0.95,0
98832,0.68,1,0.75,0.98,1
71293,0.42,1,0.67,0.5,0
115981,0.28,1,0.33,0.49,0
98781,0.72,0,0.4,0.66,0
80403,0.24,1,0.9,0.81,1
49124,0.76,0,0.45,0.66,0
115435,0.24,1,0.95,0.94,0
63919,0.53,1,0.74,0.83,0
128761,0.26,0,0.59,0.78,0
141305,0.48,0,0.9,0.44,1
55247,0.58,1,0.82,0.51,0
141172,0.23,1,0.58,0.66,1
114758,0.46,1,0.34,0.99,0
111747,0.43,0,0.86,0.6,0
82752,0.15,1,0.8,0.78,0
76573,0.67,0,0.81,0.99,0
79101,0.33,1,0.78,0.56,0
122756,0.5,1,0.48,0.5,0
46646,0.46,1,0.86,0.73,0
124185,0.46,0,0.3,0.73,0
43049,0.18,1,0.45,0.95,0
99605,0.4,1,0.33,0.42,0
118116,0.42,1,0.37,0.64,0
117379,0.61,0,0.65,0.59,0
88385,0.69,1,0.32,0.74,0
146131,0.48,1,0.42,0.41,1
60158,0.16,0,0.45,0.83,0
85417,0.27,1,0.73,0.69,1
43289,0.22,0,0.6,0.82,0
130226,0.19,1,0.6,0.67,0
120793,0.36,1,0.8,0.68,0
29823,0.26,1,0.6,0.94,0
80160,0.25,1,0.53,0.53,1
61975,0.14,1,0.93,0.53,0
29540,0.11,0,0.31,0.74,0
36364,0.17,1,0.5,0.8,0
24611,0.22,1,0.7,0.61,1
47663,0.4,1,0.81,0.71,0
71991,0.46,0,0.83,0.54,1
77679,0.2,1,0.33,0.48,0
124182,0.4,1,0.76,0.54,0
50977,0.34,1,0.77,0.95,0
114704,0.23,1,0.44,0.88,0
69115,0.1,0,0.37,0.48,0
111007,0.43,1,0.79,0.43,0
108223,0.58,1,0.46,0.46,0
80890,0.26,0,0.3,0.58,0
86387,0.19,0,0.45,0.89,0
38071,0.72,1,0.32,0.59,0
79275,0.29,1,0.46,0.51,1
92369,0.26,1,0.52,0.64,1
31938,0.7,1,0.48,0.47,0
55195,0.67,0,0.9,0.68,1
111680,0.41,1,0.45,0.81,1
24000,0.44,1,0.6,0.62,0
90588,0.25,1,0.92,0.5,0
121042,0.15,1,0.87,0.67,0
113610,0.5,1,0.5,0.86,1
140420,0.17,1,0.51,0.45,1
123691,0.41,1,0.69,0.44,0
126306,0.76,1,0.9,0.59,0
117856,0.77,1,0.31,0.65,0
58304,0.27,1,0.56,0.53,0
131783,0.54,1,0.85,0.42,0
89449,0.43,1,0.57,0.53,0
102986,0.71,1,0.77,0.66,0
